Campaign Name,Ad Set Name,Ad Name,Day,Impressions,Results,Amount Spent (USD),Purchase,Signup,Link Clicks,Status reasons
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-23,1393,1,24.3788,1,1,6,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-04,653,1,14.4697,,1,5,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-23,426,,12.2252,,,5,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-30,673,1,18.2185,,1,5,limited by budget
Retargeting Test,ALL_Retargeting_Signup No Purchase,Retargeting Ad,2020-12-29,1710,1650,30.0139,,,5,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-07,855,1,15.9262,,1,5,na
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-17,277,,3.4383,,,5,na
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-22,279,,6.4230,,,4,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-26,375,1,7.5094,1,1,4,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-29,392,1,11.3418,1,1,4,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-03,373,,8.3929,,,4,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Animated_ShoeSpin,2020-12-17,1142,1,16.5351,1,1,4,campaign paused; limited by budget
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-02,954,,69.8290,,,4,indc
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-27,358,1,8.1661,1,1,4,indc
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-04,748,,51.3536,,,4,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-09,591,2,10.7568,1,2,4,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-11,392,,5.2769,,,4,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-02,504,,8.3093,,,4,status check
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-08,338,,7.1035,,,3,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-25,391,,8.6317,,,3,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-13,341,,3.9995,,,3,status check
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-19,235,,3.0086,,,2,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-01,867,,16.0217,,,2,indc
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-06,313,,19.3693,,,2,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-16,282,,2.9130,,,2,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-12,417,,6.2798,,,1,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-20,252,,2.6385,,,1,active
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-10,319,,3.9517,,,1,indc
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-09,347,,4.9784,,,1,limited by budget
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-28,351,,8.1064,1,,1,na
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-08,1,,0.0497,,,,active
Prospecting -- Signups and Purchases,WW_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-24,544,1,13.5385,,1,,active
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-05,354,1,21.8526,,1,,limited by budget
Prospecting -- Signups and Purchases,WW_Interest_Cricket,HDLT_Test_Static_Cricket,2020-12-07,395,,20.4123,,,,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-15,566,,6.3514,,,,limited by budget
Prospecting -- Signups and Purchases,US_Lookalike_RecentPurchases,HDLT_Test_Static_BlackShoe,2020-12-21,116,,1.2416,,,,limited by budget
